0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/ron-mde.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/picad.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/mondongo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/desayunopaisa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/pescado.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/bandejapaisa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/carne_asada.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/hamburguesa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/sancocho.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/arrozpollo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:38:45 -0500] "GET /Meerkat_0.0/images/editadas/chuzo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:16 -0500] "GET /Meerkat_0.0/consultarproductosvista/consultarproductos.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:16 -0500] "GET /Meerkat_0.0/consultarproductosvista/fondo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:16 -0500] "GET /Meerkat_0.0/consultarproductosvista/fondo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:16 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:16 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:27 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:39:27 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:43 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:44 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:46 -0500] "GET /Meerkat_0.0/consultarproductosvista/consultarproductos.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:46 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:46 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:46 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:49 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:49 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:49 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:51:59 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:15:52:00 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:27 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 500 1518
